Time;Load_1;Load_2;Disp_1;Disp_2;E11;E22
65.11184;1.39133;1.77348;3.50177;1.63392;0.1841921493624913;0.08845138076820336
65.34781;1.5198;1.73741;3.49977;1.62563;0.18356303077589797;0.08783679426595592
65.59466;1.36939;1.70133;3.49672;1.61658;0.18304164909578557;0.08735346199388538
65.84911;1.4446;1.67428;3.49139;1.60696;0.18340711714617153;0.08755856010228602
66.09311;1.31612;1.62318;3.48758;1.59772;0.18231378123918707;0.08635621757002021
66.33965;1.47907;1.60515;3.48367;1.58839;0.1831012781713015;0.08636808748527702
66.57791;1.38193;1.56908;3.47967;1.57915;0.18399244006720117;0.08641074914841418
66.82286;1.52921;1.55705;3.47472;1.56962;0.18201629410131304;0.08569455074262844
67.07802;1.35686;1.51798;3.46815;1.55943;0.18214462265518538;0.08501094405241538
67.32591;1.4728;1.4789;3.45938;1.54943;0.18179362854284276;0.08429773371414884
67.62795;1.39446;1.45185;3.44624;1.53676;0.18005166306925213;0.08381444017509498
67.87354;1.22524;1.41277;3.43405;1.52629;0.18009874970016038;0.08334284806576886
68.12024;1.35059;1.39173;3.42014;1.51552;0.17990588541579156;0.08292882340819963
68.3627;1.40386;1.37069;3.40871;1.50485;0.17736060068529247;0.08189819163963996
68.6176;1.18451;1.33462;3.39547;1.49352;0.17648943765783098;0.08133306159240505
68.86909;1.25971;1.31357;3.38166;1.48199;0.17601900487943867;0.0807453403366124
69.11506;1.0999;1.26849;3.36937;1.47066;0.1762489738737436;0.08069648306373878
69.35856;1.19391;1.23843;3.35547;1.45904;0.1741400689967002;0.07971403047671866
69.60956;1.23151;1.21739;3.3428;1.44704;0.17314478032913527;0.07848273340380141
69.85878;1.1563;1.19033;3.33127;1.43485;0.17210798503684877;0.07771434262254895
70.10882;1.19391;1.15727;3.31803;1.42265;0.17256475561906792;0.07767778323408625
70.35042;1.1563;1.14524;3.30489;1.4117;0.17196697268694583;0.0771369769083513
70.61998;1.14064;1.11519;3.28746;1.39951;0.17028635059878705;0.07657085354705051
70.87092;1.0623;1.07912;3.27022;1.38789;0.16938440066396943;0.07557360596471274
71.1159;0.96829;1.05206;3.25288;1.37627;0.16873634969995766;0.07544061212966158
71.36808;1.15004;1.00998;3.23488;1.36417;0.16770802124957884;0.07448162598819708
71.61841;0.95889;0.97992;3.21821;1.35179;0.16559237534064275;0.07366046810729865
71.86652;1.1563;0.96489;3.2003;1.3395;0.16431346625866483;0.07263433845650247
72.11604;0.88681;0.93183;3.18316;1.32702;0.16331491088615646;0.07238603079436523
72.35876;0.93695;0.91079;3.16392;1.31474;0.16280506150439822;0.07139538529027811
72.62216;1.01843;0.87171;3.14249;1.30121;0.16020001542016282;0.07026853405321432
72.8699;0.95889;0.85668;3.12344;1.28835;0.15905524992125553;0.06960810826256825
73.11313;0.84921;0.82361;3.10258;1.27549;0.15827424758165076;0.06878879412864658
73.36277;0.98709;0.79957;3.0821;1.26206;0.1568058316156219;0.06800371383809334
73.65207;0.85234;0.7635;3.05724;1.24644;0.15484300240903226;0.06682272628280983
73.90358;0.95262;0.72743;3.03324;1.23254;0.15355080955247358;0.06605779256797195
74.15108;0.85234;0.71841;3.01019;1.21872;0.1516407396556252;0.06535673785092133
74.40689;0.94009;0.68534;2.98475;1.20434;0.14944867661895322;0.06365896803415294
74.65355;0.71446;0.64927;2.95847;1.19024;0.14821341657794118;0.06316280993181023
74.90954;0.86174;0.62823;2.93037;1.17548;0.1465650788516768;0.06225744878609907
75.16791;0.86174;0.61621;2.90198;1.16043;0.14527304761502258;0.06113359484027736
75.41421;0.62359;0.57112;2.87274;1.14595;0.14324622799303277;0.06025755187030157
75.66669;0.83981;0.55308;2.83874;1.13081;0.14051284334280778;0.05875322452697074
75.9122;0.66433;0.511;2.80873;1.11614;0.1375032628446532;0.05732532169871718
76.15825;0.54212;0.49597;2.77482;1.10109;0.1356485733847429;0.056439246921530684
76.44041;0.57345;0.4599;2.73701;1.08366;0.13378636393611598;0.05556833892035973
76.69023;0.67059;0.44487;2.70662;1.06813;0.13206637095566398;0.0546739167453304
76.93728;0.48571;0.42684;2.67548;1.0527;0.1308419506590054;0.05395604639066798
77.18606;0.68626;0.39978;2.64481;1.03699;0.12771814635343604;0.0525716872225378
77.43043;0.61419;0.36972;2.61566;1.02137;0.1257930504203758;0.051263180657484475
77.68126;0.49198;0.35169;2.58185;1.00498;0.12317408978247091;0.04968438660635022
77.93241;0.50765;0.33065;2.54546;0.9885;0.12106372503901008;0.04902957868897784
78.18518;0.58599;0.32163;2.50965;0.97174;0.11878330707785112;0.04763298585523745
78.43479;0.35723;0.28556;2.47202;0.95488;0.11616312504119408;0.04636673788616397
78.68489;0.52958;0.27053;2.43402;0.93783;0.1144379594938485;0.04557393612411165
78.95651;0.29769;0.22244;2.39487;0.91897;0.11256038481210484;0.044175857182442546
79.2281;0.51078;0.21943;2.35315;0.89983;0.10914836277982642;0.04314714855599999
79.48042;0.28829;0.20139;2.31543;0.88182;0.10624561519385356;0.04154937887303145
79.72697;0.47631;0.18637;2.2779;0.86411;0.10446216418417509;0.04078820099683955
79.97426;0.28203;0.14729;2.23961;0.84601;0.10234321803629032;0.039361260970113277
80.23459;0.25069;0.13527;2.19999;0.82725;0.10062239015660335;0.038194453288392216
80.48493;0.37603;0.12925;2.16189;0.80934;0.09766459315674925;0.03738292692254486
80.73205;0.30709;0.1022;2.1275;0.79172;0.09565222059860456;0.03639417183600513
80.98232;0.22249;0.08717;2.0914;0.7741;0.0935434003858483;0.035629276014973565
81.23619;0.13475;0.07815;2.05673;0.75638;0.09143223093468067;0.03448237558485945
81.50819;0.3259;0.06312;2.02035;0.73762;0.08903922327993175;0.032974789839770535
81.77008;0.30083;0.05411;1.98701;0.71971;0.08662035450597394;0.0317990391348022
82.06994;0.29143;0.03006;1.94948;0.69942;0.08483143701234142;0.030921709173785894
82.31368;0.19115;0.03306;1.91881;0.68304;0.08335979287628348;0.030669326805568775
82.56268;0.10654;0.01202;1.88643;0.66665;0.08158435606151371;0.029690371413570005
82.80627;0.23815;0.00601;1.85347;0.65056;0.07932962784082553;0.028508413452500547
83.07095;0.22562;-0.00601;1.82089;0.63332;0.07776434901143192;0.027813334717261773
